기준_년분기_코드,업종,상권_코드,남성_매출_건수,여성_매출_건수
20202,판매업,중랑구,20018979,17940833
20203,요식업,강남구,11515634,10496653
20203,요식업,강동구,7524744,5970983
20203,요식업,강북구,5320742,4344694
20203,요식업,강서구,8394818,7289891
20203,요식업,관악구,10779561,8203884
20203,요식업,광진구,7128389,5724675
20203,요식업,구로구,5642781,4407697
20203,요식업,금천구,3754066,2870601
20203,요식업,노원구,4468002,3518768
20203,요식업,도봉구,3145039,2610051
20203,요식업,동대문구,7542212,5806257
20203,요식업,동작구,6786740,6015799
20203,요식업,마포구,8613317,8982041
20203,요식업,서대문구,5503484,5388548
20203,요식업,서초구,5448722,4675316
20203,요식업,성동구,5481582,3934947
20203,요식업,성북구,7614115,7054714
20203,요식업,송파구,7583518,6233562
20203,요식업,양천구,4702835,3775077
20203,요식업,영등포구,7955602,6170833
20203,요식업,용산구,6222634,5803587
20203,요식업,은평구,6482826,5903489
20203,요식업,종로구,4199910,4587229
20203,요식업,중구,3660065,3269953
20203,요식업,중랑구,7744756,6299708
20203,서비스업,강남구,2095161,2022336
20203,서비스업,강동구,3298830,2598475
20203,서비스업,강북구,2678244,2299429
20203,서비스업,강서구,4306578,3528955
20203,서비스업,관악구,5428105,3846571
20203,서비스업,광진구,3249212,2633528
20203,서비스업,구로구,3045072,2553770
20203,서비스업,금천구,2224628,1949551
20203,서비스업,노원구,1674326,1297500
20203,서비스업,도봉구,1860233,1768900
20203,서비스업,동대문구,2562771,1817500
20203,서비스업,동작구,3116368,2687203
20203,서비스업,마포구,2219723,2283926
20203,서비스업,서대문구,1968065,1714100
20203,서비스업,서초구,1500261,1400712
20203,서비스업,성동구,3651620,1638260
20203,서비스업,성북구,3606215,3287442
20203,서비스업,송파구,3481951,2866499
20203,서비스업,양천구,2616810,2076529
20203,서비스업,영등포구,2464927,1998726
20203,서비스업,용산구,1287932,1269779
20203,서비스업,은평구,3559371,2880994
20203,서비스업,종로구,663646,559162
20203,서비스업,중구,764734,702174
20203,서비스업,중랑구,4558028,3543208
20203,판매업,강남구,22734761,19249598
20203,판매업,강동구,15766211,13802979
20203,판매업,강북구,14015591,12174399
20203,판매업,강서구,21515849,18917723
20203,판매업,관악구,23880439,19407846
20203,판매업,광진구,19250869,15299604
20203,판매업,구로구,16312146,12904404
20203,판매업,금천구,15272226,13501478
20203,판매업,노원구,7533848,6304502
20203,판매업,도봉구,9948721,8417134
20203,판매업,동대문구,20996126,17362726
20203,판매업,동작구,14324385,12944373
20203,판매업,마포구,17641345,18097032
20203,판매업,서대문구,10861734,10135099
20203,판매업,서초구,8057265,7154385
20203,판매업,성동구,23498220,32619087
20203,판매업,성북구,13870116,11884195
20203,판매업,송파구,16626169,13577531
20203,판매업,양천구,10888639,8814262
20203,판매업,영등포구,22714505,18390188
20203,판매업,용산구,11632407,9839320
20203,판매업,은평구,17058519,15692780
20203,판매업,종로구,8041043,6523625
20203,판매업,중구,6649086,5739265
20203,판매업,중랑구,19750623,18570692
20204,요식업,강남구,10242468,9197703
20204,요식업,강동구,7036773,5678067
20204,요식업,강북구,4771372,3888836
20204,요식업,강서구,7589993,6642997
20204,요식업,관악구,9868968,7487218
20204,요식업,광진구,6706192,5417934
20204,요식업,구로구,5361436,4332979
20204,요식업,금천구,3441813,2605317
20204,요식업,노원구,4165303,3348608
20204,요식업,도봉구,2895491,2428504
20204,요식업,동대문구,6889645,5433170
20204,요식업,동작구,6153818,5376217
20204,요식업,마포구,7809937,8010313
20204,요식업,서대문구,5075903,5074868
20204,요식업,서초구,5047827,4243629
20204,요식업,성동구,5104698,3687666
20204,요식업,성북구,6917375,6584292
20204,요식업,송파구,7037075,5739966
20204,요식업,양천구,4297838,3489513
20204,요식업,영등포구,7264892,5677991
20204,요식업,용산구,5797172,5356440
20204,요식업,은평구,6081871,5705501
20204,요식업,종로구,4033548,4284633
20204,요식업,중구,3426221,3115982
20204,요식업,중랑구,7073342,5757790
20204,서비스업,강남구,2044058,1985672
20204,서비스업,강동구,3259994,2538870
20204,서비스업,강북구,2663166,2304164
20204,서비스업,강서구,4199939,3468832
20204,서비스업,관악구,5495250,3767595
20204,서비스업,광진구,3229435,2646747
20204,서비스업,구로구,2960299,2501880
20204,서비스업,금천구,2180303,2009459
20204,서비스업,노원구,1673435,1288749
20204,서비스업,도봉구,1896855,1739044
20204,서비스업,동대문구,2535631,1825363
20204,서비스업,동작구,3062530,2644254
20204,서비스업,마포구,2158027,2227328
20204,서비스업,서대문구,2006353,1736982
20204,서비스업,서초구,1497769,1355028
20204,서비스업,성동구,3637339,1556181
20204,서비스업,성북구,3485045,3352685
20204,서비스업,송파구,3517874,2925006
20204,서비스업,양천구,2615595,2061024
20204,서비스업,영등포구,2526509,2044902
20204,서비스업,용산구,1334532,1249472
20204,서비스업,은평구,3661218,2871154
20204,서비스업,종로구,702742,585347
20204,서비스업,중구,771855,685804
20204,서비스업,중랑구,4291789,3549023
20204,판매업,강남구,21412386,17909340
20204,판매업,강동구,15035270,13301778
20204,판매업,강북구,13195262,11800029
20204,판매업,강서구,19927895,17806510
