기준_년분기_코드,업종,상권_코드,총 매출
20194,요식업,중구,166070962665
20194,요식업,중랑구,324567398972
20194,서비스업,강남구,496326860082
20194,서비스업,강동구,252018803576
20194,서비스업,강북구,196534357607
20194,서비스업,강서구,328112121877
20194,서비스업,관악구,343297558204
20194,서비스업,광진구,234123981473
20194,서비스업,구로구,192865057696
20194,서비스업,금천구,163949092584
20194,서비스업,노원구,115567779582
20194,서비스업,도봉구,129493001006
20194,서비스업,동대문구,198234978678
20194,서비스업,동작구,234923062229
20194,서비스업,마포구,228761182003
20194,서비스업,서대문구,151119139209
20194,서비스업,서초구,213633123949
20194,서비스업,성동구,138035119325
20194,서비스업,성북구,236425134781
20194,서비스업,송파구,321674693959
20194,서비스업,양천구,210620437791
20194,서비스업,영등포구,212870569772
20194,서비스업,용산구,116343978450
20194,서비스업,은평구,248626809666
20194,서비스업,종로구,61321006123
20194,서비스업,중구,62295459587
20194,서비스업,중랑구,258088552363
20194,판매업,강남구,1273171454544
20194,판매업,강동구,525899330163
20194,판매업,강북구,446209664592
20194,판매업,강서구,586435128263
20194,판매업,관악구,690773917230
20194,판매업,광진구,585485537784
20194,판매업,구로구,482591089926
20194,판매업,금천구,837337697735
20194,판매업,노원구,210510420530
20194,판매업,도봉구,306234980983
20194,판매업,동대문구,958140096827
20194,판매업,동작구,393955085016
20194,판매업,마포구,549862914463
20194,판매업,서대문구,365625286629
20194,판매업,서초구,513594909161
20194,판매업,성동구,460715965178
20194,판매업,성북구,362484792447
20194,판매업,송파구,647287589392
20194,판매업,양천구,309762679148
20194,판매업,영등포구,924873896507
20194,판매업,용산구,948274870161
20194,판매업,은평구,478514847229
20194,판매업,종로구,399628611088
20194,판매업,중구,352246595490
20194,판매업,중랑구,645247713798
20201,요식업,강남구,529576400582
20201,요식업,강동구,275666735065
20201,요식업,강북구,210540086979
20201,요식업,강서구,304939214423
20201,요식업,관악구,326498557195
20201,요식업,광진구,265751507066
20201,요식업,구로구,173095287056
20201,요식업,금천구,152176779376
20201,요식업,노원구,174421506204
20201,요식업,도봉구,110021325709
20201,요식업,동대문구,253048567395
20201,요식업,동작구,222110110206
20201,요식업,마포구,352765517469
20201,요식업,서대문구,221897693933
20201,요식업,서초구,229694401634
20201,요식업,성동구,183731469988
20201,요식업,성북구,248048865955
20201,요식업,송파구,297688214505
20201,요식업,양천구,148417797127
20201,요식업,영등포구,273733300972
20201,요식업,용산구,325093399442
20201,요식업,은평구,243667305672
20201,요식업,종로구,178217084787
20201,요식업,중구,134273398502
20201,요식업,중랑구,291731750787
20201,서비스업,강남구,462299076745
20201,서비스업,강동구,231130996221
20201,서비스업,강북구,172855975075
20201,서비스업,강서구,307446784837
20201,서비스업,관악구,302248506997
20201,서비스업,광진구,211716453483
20201,서비스업,구로구,161986665179
20201,서비스업,금천구,139130379570
20201,서비스업,노원구,101353779980
20201,서비스업,도봉구,111557466044
20201,서비스업,동대문구,166590754704
20201,서비스업,동작구,214544074933
20201,서비스업,마포구,197735335785
20201,서비스업,서대문구,136028863929
20201,서비스업,서초구,188607611143
20201,서비스업,성동구,120097172810
20201,서비스업,성북구,203032680917
